pivot,sl_mult,tp_mult,tf_filter,trades,winrate,pnl
3,0.5,1.0,none,4193,37.23989476201866,-106790.00237200496
3,0.5,1.0,1h,3831,35.03553566728086,-113719.72373274849
3,0.5,1.0,4h,3343,35.1099066546221,-99000.39831624115
3,0.5,2.0,none,4193,24.171071600192214,-113306.05539597216
3,0.5,2.0,1h,3831,20.398936170212767,-143456.5507358687
3,0.5,2.0,4h,3343,20.84472804618657,-121435.65339324743
3,0.5,3.0,none,4193,17.968561064087062,-111683.80562907486
3,0.5,3.0,1h,3831,13.825503355704697,-160022.1484471138
3,0.5,3.0,4h,3343,14.697760049094814,-128213.46804003969
3,0.5,4.0,none,4193,14.041514041514041,-110031.78576483497
3,0.5,4.0,1h,3831,9.777898158179848,-176217.45075746067
3,0.5,4.0,4h,3343,10.629067245119305,-139888.8507661344
3,1.0,1.0,none,4193,50.537109375,4127.020789897563
3,1.0,1.0,1h,3831,43.85628085573231,-45214.994249242896
3,1.0,1.0,4h,3343,45.03125,-31744.644819300112
3,1.0,2.0,none,4193,33.12198833375602,6596.210599925964
3,1.0,2.0,1h,3831,24.2467718794835,-86875.290901297
3,1.0,2.0,4h,3343,26.38117031709709,-56519.73815081328
3,1.0,3.0,none,4193,23.666929340688206,5668.032273530883
3,1.0,3.0,1h,3831,14.532459797498511,-118842.06369837523
3,1.0,3.0,4h,3343,17.31029810298103,-72037.27140816842
3,1.0,4.0,none,4193,17.977223427331886,12953.872081098998
3,1.0,4.0,1h,3831,9.088127294981641,-140414.16852677497
3,1.0,4.0,4h,3343,12.077967281587192,-80710.3672519311
3,1.5,1.0,none,4193,48.99311751210808,-6687.571964162127
3,1.5,1.0,1h,3831,39.3859649122807,-73182.0421808743
3,1.5,1.0,4h,3343,41.954787234042556,-48408.538988181834
3,1.5,2.0,none,4193,31.117241379310343,-4066.248974584383
3,1.5,2.0,1h,3831,19.22584772872681,-116669.99025187176
3,1.5,2.0,4h,3343,23.26930047118521,-70013.91829804215
3,1.5,3.0,none,4193,21.5962441314554,4493.326252555998
3,1.5,3.0,1h,3831,9.88567585743107,-145761.18395966062
3,1.5,3.0,4h,3343,13.968618446230387,-83450.29735081721
3,1.5,4.0,none,4193,16.13296736810003,15366.519819088968
3,1.5,4.0,1h,3831,5.868222374742622,-161675.0065773917
3,1.5,4.0,4h,3343,9.909555642941408,-82481.11277102343
